query,intent
search ms dhoni interviews on youtube,youtube search
HOW DO AIRPLANES FLY,general
What is todays date,realtime
OPEN SETTINGS,open
will i need an umbrella today,realtime
weather in mumbai now,realtime
Open vscode please,open
mute audlo,system
Quit firefox,close
WILL I NEED AN UMBRELLA TODAY,realtime
terminate powerpoint,close
Weather in mumbai now,realtime
PLAY THE NIGHT WE MET,play
create a picture of a dragon flying over a castle,generate image
Do you sleep,general
WHO IS SACHIN TENDULKAR,general
Google ipl 2026 schedule,google search
quit firefox,close
can you turn it off no wait turn it down,system
show me cute puppy videos on youtube,youtube search
Google how to make pizza dough,google search
Turn it down,system
youtuVe ml courses,youtube search
Play yellow coldplay,play
SEARCH LATEST MOVIE TRAILERS ON YOUTUBE,youtube search
CLOSE CAMERA,close
PLAY PERFECT BY ED SHEERAN,play
open shatsapp,open
GOOGLE FOR WHO WON THE WORLD CUP,google search
exit telegram,close
look up for who won the world cup,google search
open whatsapp,open
mame an image of a hot air balloon oGer fields,generate image
Open vscode please,open
PLAY COUNTING STARS,play
create an image of a photo of a spaceship landing on mars,generate image
mute audio,system
WHAT IS TODAYS DATE,realtime
play seedhe maut,play
what do you think about love please,general
shut down telegram,close
searcy asmr videos on youtube,youtube search
can you help me with what do you think about love,general
gen4rate a photo of a misty mountain villagf,generate image
Remind me to check email at 9,reminder
boot get teams open,open
GENERATE AN IMAGE OF A CAT IN A HAT,generate image
Open powerpoint,open
close vscode please,close
unmute the volume,system
set a reminde3 for the fligyt at 5 am tomorrow,reminder
i was wondering how are you,general
set a reminder to buy groceries this evening,reminder
i was wondering explain newtons third law,general
chrome please,open
Increase volume,system
tell me the temperature now,realtime
restore audio,system
play the nlght we met,play
What do you think about love,general
remind me to buy groceries this evening,reminder
GOOGLE FOR DISTANCE FROM EARTH TO MOON,google search
can you ,system
play seedhe maut,play
youtube veg recipes,youtube search
show me ms dhoni interviews on youtube on youtube,youtube search
o9en vscode please,open
Remind me to walk the dog,reminder
shut sLotify,close
remind me to back up my code,reminder
don't forget to to call mom at 7 pm,reminder
How old are you,general
is it raininr outside,realtime
queue believer by imagine dragons,play
google for who won the world cup,google search
who is eachin tendulkar,general
i need you to ,system
SEARCH RECENT NEWS ON AI,google search
do you slee0,general
search youtube for history documentaries,youtube search
